Incident/Oil Spill Ref. No.  ,e-PAGE code,Facility/ Equipment  ,  Facility Category  ,Location,Closeby Facility,Area  ,LGA     ,State      ,   Lat (N)   ,   Long (E)   ,Date of Incident/Spill,Date of Incident/Spill Observed ,Time of Incident/Spill,Time of Incident/Spill Observed,Date spill was stopped,Date spill was contained,Time spill was contained, OML/OPL ,Incident/Spill cause       ,Incident/ Spill Category    ,Description of Incident/Spill causes,Incident/Spill responsibility,Est. Qty. Spilled (bbls),Est. Qty. Recovered(bbls)
2013/OS/471,,"10"" Clough Creek/Tebidaba Pipeline",PIPELINE (OIL),Gbaraun,CLOUGH CREEK,SAR,Southern Ijaw,Bayelsa State,N 04° 46' 19.5'',E 005° 47' 25.5'',8/9/2013,8/9/2013,,11:00,,,,,Oil theft,Sabotage,"3"" valve & nipple installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/472,,"10"" Clough Creek/Tebidaba Pipeline",PIPELINE (OIL),Gbaraun,CLOUGH CREEK,SAR,Southern Ijaw,Bayelsa State,N 04° 46' 15.6'',E 005° 47' 31.4'',8/9/2013,8/9/2013,,14:00,,,,,Oil theft,Sabotage,"3"" Valve & nipple installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/478,,"10"" Clough Creek/Tebidaba Pipeline",PIPELINE (OIL),Azuzuama,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 41' 42.2'',E 005° 55' 11.6'',13/09/2013,13/09/2013,,15:30,,,,,Oil theft,Sabotage,"3"" Valve installed with pipe connection on the pipeline by unknown person (s)..",Third party,TBE,
2013/OS/479,,Obiafu 14L Flowline,FLOWLINE,Omoku,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 23' 17.2'',E 006° 33' 26.8'',14/09/2013,14/09/2013,,10:19,,,,,Oil theft,Sabotage,1 hose connection on sampling point downstream the SSV by unknown person (s)..,Third party,TBE,
2013/OS/480,,"6"" Mgbede 13 Ls flowline",FLOWLINE,Okwuzi,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 27' 58.9'',E 006° 41' 54.5'',14/09/2013,14/09/2013,,12:03,,,,,Hacksaw cut,Sabotage,,Third party,TBE,
2013/OS/481,,"10"" Clough Creek/Tebidaba Pipeline",PIPELINE (OIL),Azuzuama,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 41' 42.2'',E 005° 55' 11.6'',13/09/2013,13/09/2013,,15:30,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe with pipe connection by unknown person (s)..",Third party,TBE,
2013/OS/494,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Elepa,TEBIDABA,SAR,Nembe,Bayelsa State,N 04° 27' 51.2'',E 006° 09' 45.1'',19/09/2013,19/09/2013,,12:20,,,,,Oil theft,Sabotage,"3"" nipple installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/495,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kamborro,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 51.5'',E 005° 56' 28.2'',19/09/2013,19/09/2013,,13:00,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person 9S0..",Third party,TBE,
2013/OS/496,,"14"" Ogboinbiri/Tebidaba pipeline",PIPELINE (OIL),Ikeinghenbiri,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 42' 38.7'',E 005° 58' 10.3'',19/09/2013,19/09/2013,,16:15,,,,,TBD,TBD,,,TBE,
2013/OS/497,,"4"" Okpai 2Ls flowline",FLOWLINE,Beneku,KWALE,LAR,Ndokwa East,Delta State,N 05° 41' 10.7'',E 006° 31' 07.7'',19/09/2013,19/09/2013,,14:00,,,,,TBD,TBD,,,TBE,
2013/OS/498,,"4"" Okpai 7Ss flowline",FLOWLINE,Beneku,KWALE,LAR,Ndokwa East,Delta State,N 05° 41' 10.7'',E 006° 31' 08.5'',19/09/2013,19/09/2013,,14:00,,,,,Hacksaw cut,Sabotage,,Third party,TBE,
2013/OS/502,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Lasukugbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 32.2'',E 006° 02' 24.5'',20/09/2013,20/09/2013,,13:50,,,,,Oil theft,Sabotage,"Previously repaired oil theft point cut open & 3"" valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/504,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Lasukugbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 53.7'',E 006° 01' 41.1'',22/09/2013,22/09/2013,,13:00,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/506,,Obrikom 8 flowline,FLOWLINE,Obrikom,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 24' 39.5'',E 006° 40' 04.5'',21/09/2013,21/09/2013,,17:55,,,,,Vandalization,Sabotage,"Drilled hole, Cutting & carting away of a section of the flowline by unknown person (s)..",Third party,TBE,
2013/OS/509,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Lasukugbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 52.0'',E 006° 01' 44.1'',23/09/2013,23/09/2013,,12:30,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/510,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 34.9'',E 006° 00' 27.1'',23/09/2013,23/09/2013,,13:00,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/512,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 52.6'',E 006° 04' 20.8'',24/09/2013,24/09/2013,,16:00,,,,,Oil theft,Sabotage,"Previously repaired oil theft point cut open & 3"" valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/537,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 33.7'',E 006° 00' 28.3'',8/10/2013,8/10/2013,,12:02,,,,,Oil theft,Sabotage,"4"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/542,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 12.7'',E 005° 58' 49.0'',9/10/2013,9/10/2013,,15:20,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person..",Third party,TBE,
2013/OS/543,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kalatoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 32.9'',E 005° 57' 38.9'',9/10/2013,9/10/2013,,15:20,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/544,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 05.1'',E 005° 59' 15.9'',10/10/2013,10/10/2013,,15:20,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/545,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kalatoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 21.7'',E 005° 58' 17.8'',10/10/2013,10/10/2013,,15:30,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/548,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Mbikiba,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 36.8'',E 006° 04' 05.4'',12/10/2013,12/10/2013,,13:00,,,,,Oil theft,Sabotage,"2"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/551,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 23.0'',E 006° 03' 05.2'',12/10/2013,12/10/2013,,12:00,,,,,Oil theft,Sabotage,"4"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/552,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 28.0'',E 006° 02' 45.6'',12/10/2013,12/10/2013,,16:35,,,,,Oil theft,Sabotage,"2"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/554,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 52.6'',E 006° 04' 20.7'',13/10/2013,13/10/2013,,13:00,,,,,Oil theft,Sabotage,"Previously repaired oil theft point cut open & 3"" valve installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/555,,"18"" EOC/Ogoda Pipeline",PIPELINE (OIL),Mgbede,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 26' 07.7'',E 006° 41' 07.8'',14/10/2013,14/10/2013,,8:00,,,,,TBD,TBD,,,TBE,
2013/OS/556,,"18"" Obama/Brass Pipeline",PIPELINE (OIL),Adikiama,OBAMA,SAR,Nembe,Bayelsa State,N 04° 29' 59.6'',E 006° 15' 25.6'',14/10/2013,14/10/2013,,10:52,,,,,Oil theft,Sabotage,"Previously repaired oil theft point cut open & 3"" valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/557,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 55.6'',E 006° 04' 13.9'',14/10/2013,14/10/2013,,14:10,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/558,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Lasukugbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 32.3'',E 006° 02' 24.6'',14/10/2013,14/10/2013,,15:00,,,,,Oil theft,Sabotage,"Previously repaired oil theft point cut open & 3"" valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/559,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 28.7'',E 006° 02' 43.0'',15/10/2013,15/10/2013,,15:00,,,,,Oil theft,Sabotage,"Previously repaired oil theft point cut open & 2"" valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/560,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 33.7'',E 006° 00' 28.4'',15/10/2013,15/10/2013,,14:00,,,,,Oil theft,Sabotage,"4"" Valve installed on pipe with pipe connection by unknown person (s)..",Third party,TBE,
2013/OS/565,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kalatoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 33.1'',E 005° 57' 37.7'',16/10/2013,16/10/2013,,14:00,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/566,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 32.8'',E 006° 00' 28.4'',16/10/2013,16/10/2013,,14:20,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe with pipe connection by unknown person (s)..",Third party,TBE,
2013/OS/568,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 26.4'',E 006° 00' 41.6'',17/10/2013,17/10/2013,,13:00,,,,,Oil theft,Sabotage,"3"" Valve installed on pipe with pipe connection by unknown person (s)..",Third party,TBE,
2013/OS/569,,Pirigbene well 1 manifold,MANIFOLD,Pirigbene,OBAMA,SAR,Southern Ijaw,Bayelsa State,N 04° 36' 57.8'',E 006° 11' 37.6'',20/10/2013,20/10/2013,,15:25,23/10/2013,23/10/2013,OML 63,,Equipment failure,Operation control,Abrasion of facility due to sand erosion.,,5,0
2013/OS/570,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 33.5'',E 006° 00' 28.2'',20/10/2013,20/10/2013,,10:27,,,,,Oil theft,Sabotage,4'' valve with pipe connection installed on pipe by unknown person (s).,Third party,TBE,
2013/OS/571,,"18"" Tebidaba/Brass Pipeline",Pipeline,Lagosgbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 28' 13.1'',E 006° 08' 25.2'',20/10/2013,20/10/2013,,12:17,,,,,Oil theft,Sabotage,Previously repaired oil theft point cut open & 3'' vavlve installed on pipe by unknown person (s).,Third party,TBE,
2013/OS/572,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 26.6'',E 006° 00' 41.4'',21/10/2013,21/10/2013,,11:00,,,,,Oil theft,Sabotage,4'' valve installed on pipe by unknown person (s).,Third party,TBE,
2013/OS/573,,"18"" Tebidaba/Brass Pipeline",Pipeline,Kalatoru,,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 34.6'',E 005° 57' 30.7'',22/10/2013,22/10/2013,,11:00,,,,,Oil theft,Sabotage,4'' vavle with pipe connection installed on pipe by unknown persons.,Third party,TBE,
2013/OS/580,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 27.2'',E 006° 00' 43.6'',25/10/2013,25/10/2013,,10:00,,,,,Hacksaw cut,Sabotage,4 (nos.) on the pipeline..,Third party,TBE,
2013/OS/581,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 26.6'',E 006° 00' 41.7'',25/10/2013,25/10/2013,,14:10,,,,,Oil theft,Sabotage,"4"" valve installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/584,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,OGBAINBIRI,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 33.9'',E 006° 00' 28.5'',26/10/2013,26/10/2013,,10:28,,,,,Oil theft,Sabotage,4'' vavle installed on pipe by unknown person (s).,Third party,TBE,
2013/OS/587,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Babaragbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 53.6'',E 006° 01' 41.4'',28/10/2013,28/10/2013,,14:20,,,,,Oil theft,Sabotage,3'' vavle installed on pipe with pipe connection by unknown person (s).,Third party,TBE,
2013/OS/591,,"10"" Clough Creek/Tebidaba Pipeline",Pipeline,Azagbene,CLOUGH CREEK,SAR,Ekeremor,Bayelsa State,N 04° 48' 35.6'',E 005° 43' 49.5'',29/10/2013,29/10/2013,,11:42,,,,,Oil theft,Sabotage,2'' valve installed on pipe by unknown person (s).,Third party,TBE,
2013/OS/594,,"18"" Tebidaba/Brass Pipeline",Pipeline,Babaragbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 03.6'',E 006° 01' 25.4'',29/10/2013,29/10/2013,,14:20,,,,,Oil theft,Sabotage,3'' valve installed on pipe with pipe connection by unknown person (s).,Third party,TBE,
2013/OS/595,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 33.9'',E 006° 01' 28.5'',30/10/2013,30/10/2013,,10:15,,,,,Oil theft,Sabotage,3'' valve installed on pipe by unknown person (s).,,TBE,
2013/OS/598,,"10"" Clough Creek/Tebidaba Pipeline",Pipeline,Gbaraun,CLOUGH CREEK,SAR,Southern Ijaw,Bayelsa State,N 04° 44' 59.6'',E 005° 49' 20.2'',31/10/2013,31/10/2013,,11:00,,,,,Oil theft,Sabotage,Previously repaired oil theft point vandalized & 3'' valve installed on pipe by unknown person (s).,Third party,TBE,
2013/OS/600,,"18"" Tebidaba/Brass Pipeline",Pipeline,Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 57.1'',E 006° 04' 10.7'',1/11/2013,1/11/2013,,11:50,,,,,Oil theft,Sabotage,Previously repaired oil theft point cut open & 3'' valve installed on pipe by unknown person (s).,Third party,TBE,
2013/OS/603,,Taylor Creek 2Ss flowline,FLOWLINE,Kalaba,OSHIE,LAR,Yenagoa,Bayelsa State,N 05° 07' 52.2'',E 006° 27' 16.0'',3/11/2013,3/11/2013,,16:06,3/11/2013,,OML 61,,Hacksaw cut,Sabotage,,Third party,7,2.5
2013/OS/607,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 33.9'',E 006° 00' 28.5'',6/11/2013,6/11/2013,,11:00,,,,,Oil theft,Sabotage,3'' valve installed on pipe with pipe connection by unknown person (s).,Third party,TBE,
2013/OS/608,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 24.7'',E 006° 00' 49.9'',7/11/2013,7/11/2013,,11:35,,,,,Oil theft,Sabotage,3'' valve installed on pipe with pipe/hose connections by unknown person (s).,Third party,TBE,
2013/OS/610,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 24.7'',E 006° 00' 49.9'',8/11/2013,8/11/2013,,11:35,,,,,Oil theft,Sabotage,"3"" valve installed on pipe with pipe/hose connections by unknown person (s)..",Third party,TBE,
2013/OS/611,,"18"" Obama/Brass Pipeline",Pipeline,Adikiama,OBAMA,SAR,Nembe,Bayelsa State,N 04° 31' 50.2'',E 006° 15' 28.9'',8/11/2013,8/11/2013,,11:50,,,,,Oil theft,Sabotage,"2"" nipple installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/614,,"18"" Obama/Brass Pipeline",Pipeline,Adikiama,OBAMA,SAR,Nembe,Bayelsa State,N 04° 32' 01.8'',E 006° 15' 32.5'',9/11/2013,9/11/2013,,15:56,,,,,Oil theft,Sabotage,"3"" nipple installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/615,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 38.2'',E 006° 04' 51.7'',10/11/2013,10/11/2013,,11:00,10/11/2013,,OML 63,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown person(s)..",,1,0
2013/OS/618,,"18"" Tebidaba/Brass Pipeline",Pipeline,Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 38.2'',E 006° 04' 51.7'',10/11/2013,10/11/2013,,13:30,,,,,Oil theft,Sabotage,"The cone of a previously repaired oil theft point cut open & 3"" valve installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/619,,"24"" Ogoda/Brass Pipeline",Pipeline,Atonyekiri,OBAMA,SAR,Nembe,Bayelsa State,N 04° 26' 44.9'',E 006° 21' 20.1'',11/11/2013,11/11/2013,,16:24,,,,,TBD,TBD,,,TBE,
2013/OS/620,,"24"" Ogoda/Brass Pipeline",Pipeline,Atonyekiri,BRASS TERMINAL,SAR,Nembe,Bayelsa State,N 04° 26' 44.9'',E 006° 21' 20.1'',11/11/2013,11/11/2013,,16:24,,,,,TBD,TBD,,,TBE,
2013/OS/621,,Taylor Creek 2Ss flowline,FLOWLINE,Kalaba,OSHIE,LAR,Yenagoa,Bayelsa State,N 05° 08' 07.6'',E 006° 27' 04.2'',11/11/2013,11/11/2013,,16:42,,,,,Hacksaw cut,Sabotage,Hacksaw cut on the flowline.,Third party,TBE,
2013/OS/624,,"18"" Tebidaba/Brass Pipeline",Pipeline,Babaragbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 03.6'',E 006° 01' 25.1'',12/11/2013,12/11/2013,,14:20,,,,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/627,,"18"" Tebidaba/Brass Pipeline",Pipeline,Kamborro,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 49.2'',E 005° 56' 35.8'',13/11/2013,13/11/2013,,11:00,,,,,Oil theft,Sabotage,"4"" valve installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/628,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 34.7'',E 006° 00' 27.2'',13/11/2013,13/11/2013,,9:34,,,,,Oil theft,Sabotage,"4"" nipple installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/630,,"18"" Tebidaba/Brass Pipeline",Pipeline,Lasukugbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 32.6'',E 006° 02' 24.0'',15/11/2013,15/11/2013,,10:52,,,,,Oil theft,Sabotage,"Previously repaired oil theft point cut open and  3"" valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/634,,"18"" Tebidaba/Brass Pipeline",Pipeline,Kamborro,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 33' 51.6'',E 005° 56' 28.1'',17/11/2013,17/11/2013,,11:00,,,,,Oil theft,Sabotage,"6"" valve installled on pipe by unknown person (s).",,TBE,
2013/OS/635,,"8"" Kwale 11 pipeline",Pipeline,Beneku,KWALE/OKPAI GAS PLANT,LAR,Ndokwa East,Delta State,N 05° 39' 58.8'',E 006° 30' 08.9'',18/11/2013,18/11/2013,,10:00,,,,,TBD,TBD,,,TBE,
2013/OS/637,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 30.0'',E 006° 00' 28.5'',18/11/2013,18/11/2013,,9:36,,,,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/643,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Babaragbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 52.1'',E 006° 01' 43.7'',21/11/2013,21/11/2013,,10:25,21/11/2013,,OML 63,,Oil theft,Sabotage,"2"" valve installed on pipe by unknown person(s).",Third party,150,130
2013/OS/644,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 26.2'',E 006° 00' 41.8'',21/11/2013,21/11/2013,,9:36,,,,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/647,,"18"" Tebidaba/Brass Pipeline",Pipeline,Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 34.0'',E 006° 00' 28.4'',22/11/2013,22/11/2013,,9:35,,,,,Oil theft,Sabotage,3'' valve installed on pipe with pipe connection by unknown person (s).,Third party,TBE,
2013/OS/658,,"18"" Tebidaba/Brass Pipeline",Pipeline,Mbikiba,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 26.8'',E 006° 05' 12.8'',25/11/2013,25/11/2013,,12:10,,,,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/659,,"18"" Tebidaba/Brass Pipeline",Pipeline,Babaragbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 09.5'',E 006° 01' 16.0'',25/11/2013,25/11/2013,,12:10,,,,,Oil theft,Sabotage,"4"" valve installed on pipe with pipe connection by unknown persons (s).",Third party,TBE,
2013/OS/663,,"18"" Tebidaba/Brass Pipeline",Pipeline,Mbikiba,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 34.2'',E 006° 04' 59.6'',26/11/2013,26/11/2013,,12:10,,,,,Oil theft,Sabotage,"Previously repaired oil theft point vandalized & 3"" valve installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/665,,SBM offshore,Others (Specify),Brass,BRASS TERMINAL,SAR,Brass,Bayelsa State,N 04° 04' 01.8'',E 006° 16' 06.4'',27/11/2013,27/11/2013,,10:45,,,,,Operational error,Operation control,,Company,224.55,
2013/OS/668,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 06.2'',E 006° 03' 50.0'',27/11/2013,27/11/2013,,11:45,27/11/2013,,OML 63,,Oil theft,Sabotage,"Previously repaired oil theft point cut open and 3"" valve installed on pipe by unknown person (s).",Third party,1,0.13
2013/OS/669,,"18"" Tebidaba/Brass Pipeline",Pipeline,Lasukugbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 32.6'',E 006° 02' 24.3'',27/11/2013,27/11/2013,,9:35,,,,,Oil theft,Sabotage,"Previously repaired oil theft point cut open & 3"" valve installed by unknown person (s).",Third party,TBE,
2013/OS/672,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 56.9'',E 006° 04' 10.6'',29/11/2013,29/11/2013,,12:40,29/11/2013,,OML 63,,Oil theft,Sabotage,"Previously repaired oil theft point cut open and 3"" valve installed by unknown person(s).",Third party,5,2
2013/OS/673,,"18"" Tebidaba/Brass Pipeline",Pipeline,Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 56.9'',E 006° 04' 10.6'',29/11/2013,29/11/2013,,14:20,,,,,Oil theft,Sabotage,"Previously repaired oil theft point vandalized & 3"" valve installed by unknown person (s).",Third party,TBE,
2013/OS/674,,"18"" Tebidaba/Brass Pipeline",Pipeline,Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 22.9'',E 006° 03' 00.9'',29/11/2013,29/11/2013,,14:20,,,,,Oil theft,Sabotage,"Previously repaired oil theft point vandalized & 3"" valve installed by unknown person (s).",Third party,TBE,
2013/OS/676,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Igbematoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 31' 26.8'',E 006° 00' 41.0'',29/11/2013,29/11/2013,,15:40,29/11/2013,,OML 63,,Oil theft,Sabotage,"4"" nipple installed on pipe by unknown person (s).",Third party,1,0.63
2013/OS/678,,"18"" Tebidaba/Brass Pipeline",Pipeline,Kalatoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 33.2'',E 005° 57' 35.4'',1/12/2013,1/12/2013,,9:05,,,,,Oil theft,Sabotage,"6"" valve installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/681,,"10"" Kwale/Akri Pipeline",Pipeline,Agwe-Etiti,KWALE/OKPAI GAS PLANT,LAR,Ndokwa East,Delta State,N 05° 29' 45.2'',E 006° 15' 48.0'',5/12/2013,5/12/2013,,11:45,,,,,TBD,TBD,,,TBE,
