Incident/Oil Spill Ref. No.  ,e-PAGE code,Facility/ Equipment  ,  Facility Category  ,Location,Closeby Facility,Area  ,LGA     ,State      ,   Lat (N)   ,   Long (E)   ,Date of Incident/Spill,Date of Incident/Spill Observed ,Time of Incident/Spill,Time of Incident/Spill Observed,Date spill was stopped,Date spill was contained,Time spill was contained, OML/OPL ,Incident/Spill cause       ,Incident/ Spill Category    ,Description of Incident/Spill causes,Incident/Spill responsibility,Est. Qty. Spilled (bbls),Est. Qty. Recovered(bbls)
2013/OS/224,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Lasukugbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 28.5'',E 006° 02' 42.8'',15/05/2013,15/05/2013,,15:40,15/05/2013,,OML 63,,Oil theft,Sabotage,"2"" valve installed on pipeline by unknown person (s)..",Third party,15,0
2013/OS/225,,Mgbede 11Ls flowline,FLOWLINE,Ebocha,EBOCHA,LAR,Ogba/Ndoni/Egbema,Rivers State,"
N 05° 27' 22.1''","
E 006° 42' 24.0''",15/05/2013,15/05/2013,,16:17,15/05/2013,,OML 61,,Hacksaw cut,Sabotage,About 60mm Hacksaw cut & 6mm drill hole  was observed on the  flowline..,Third party,1,0
2013/OS/226,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 24.0'',E 006° 03' 01.7'',16/05/2013,16/05/2013,,13:20,16/05/2013,,OML 63,,Oil theft,Sabotage,"3"" valve installed on pipeline by unknown person (s)..",Third party,1,0
2013/OS/228,,Mgbede 11Ss flowline,FLOWLINE,Mgbede,EBOCHA,LAR,Ogba/Ndoni/Egbema,Rivers State,"
N 05° 27' 22.1''","
E 006° 42' 24.4''",17/05/2013,17/05/2013,,14:32,17/05/2013,,OML 61,,Hacksaw cut,Sabotage,,Third party,1,0
2013/OS/236,,Ebocha 6Ls & Ss flowline,FLOWLINE,Ebegoro,EBOCHA,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 21' 31.0'',E 006° 39' 01.0'',18/05/2013,18/05/2013,,10:17,18/05/2013,,OML 61,,Use of explosive,Sabotage,Detonation of an explosive by unknown person (s).,Third party,1,0
2013/OS/237,,Ebegoro 5 wellhead,WELL HEAD,Ebegoro,EBOCHA,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 21' 29.6'',E 006° 39' 52.7'',18/05/2013,18/05/2013,,10:37,18/05/2013,,OML 61,,Use of explosive,Sabotage,"Detonation of an explosive by unknown person (s) on the wing valve.
.",Third party,1,0
2013/OS/240,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 52.3'',E 006° 04' 21.8'',18/05/2013,18/05/2013,,14:40,18/05/2013,,OML 63,,Oil theft,Sabotage,"3"" valve installed on pipeline by unknown person (s)..",Third party,13,0
2013/OS/244,,"14"" Akri/EOC Pipeline",PIPELINE (OIL),Mmahu,AKRI,LAR,Ohaji/Egbema,Imo State,N 05° 42' 01.3'',E 006° 35' 06.1'',20/05/2013,20/05/2013,,17:15,20/05/2013,,OML 61,,Hacksaw cut,Sabotage,,Third party,8,0
2013/OS/246,,Obiafu 5T flowline,FLOWLINE,Omoku,OB/OB,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 24' 11.7'',E 006° 37' 22.1'',23/05/2013,23/05/2013,,13:13,23/05/2014,,,,Hacksaw cut,Sabotage,,Third party,1.51,
2013/OS/247,,Obiafu 34T wellhead,WELL HEAD,Omoku,EBOCHA,LAR,Ogba/Ndoni/Egbema,Rivers State,N 05° 23' 02.0'',E 006° 35' 51.1'',23/05/2013,23/05/2013,,13:13,,,,,Equipment failure,Operation control,20mm hole leakage was observed on a welded joint on the spool neck at the wellhead..,Company,30,
2013/OS/255,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Elepa,TEBIDABA,SAR,Nembe,Bayelsa State,N 04° 27' 37.6'',E 006° 10' 10.9'',24/05/2013,24/05/2013,,14:01,,,,,Oil theft,Sabotage,"3"" valve installed on pipe with hose connection by unknown person (s)..",Third party,1,
2013/OS/257,,"18"" Obama/Brass Pipeline",PIPELINE (OIL),Akaguama,OBAMA,SAR,Nembe,Bayelsa State,N 04° 32' 18.4'',E 006° 15' 37.2'',26/05/2013,26/05/2013,,11:45,,,,,Oil theft,Sabotage,"4"" Valve installed on pipe by unknown person (s)..",Third party,50,
2013/OS/259,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 52.3'',E 006° 04' 21.4'',28/05/2013,28/05/2013,,11:45,28/05/2013,,,,Oil theft,Sabotage,valve installed on pipe with connection by unknown person (s)..,,TBE,
2013/OS/262,,"10"" Clough Creek/Tebidaba Pipeline",PIPELINE (OIL),Apoi,OGBAINBIRI,SAR,Southern Ijaw,Bayelsa State,"
N 04° 43' 37.7''","
E 005° 51' 21.0''",26/05/2013,26/05/2013,,15:21,26/05/2013,,,,Hacksaw cut,Sabotage,,Third party,24,
2013/OS/272,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 27.8'',E 006° 05' 10.7'',3/6/2013,3/6/2013,,10:45,,,,,Oil theft,Sabotage,"3"" valve installed on pipe with pipe connection by unknown person (s)..",,TBE,
2013/OS/273,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Oyeregbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 27.5'',E 006° 05' 11.9'',4/6/2013,4/6/2013,,10:45,,,,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/277,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Mbikiba,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 29' 27.5'',E 006° 05' 11.9'',5/6/2013,5/6/2013,,10:00,,,,,Oil theft,Sabotage,"3"" valve installed on pipe with pipe connection by unknown person (s)..",Third party,TBE,
2013/OS/278,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Mbikiba,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 28' 29.1'',E 006° 06' 32.5'',5/6/2013,5/6/2013,,12:00,,,,,Oil theft,Sabotage,"3"" nipple installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/279,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Mbikiba,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 28' 41.0'',E 006° 06' 01.5'',5/6/2013,5/6/2013,,12:00,,,,,Oil theft,Sabotage,"6"" valve installed on pipe with pipe with pipe connection by unknown person (s)..",Third party,TBE,
2013/OS/280,,"18"" Tebidaba/Brass Pipeline",Pipeline,Mbikiba,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 28' 29.1'',E 006° 06' 32.5'',6/6/2013,6/6/2013,,12:10,,,,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown person (s).",Third party,TBE,
2013/OS/285,,Oshie 8Ss flowline,FLOWLINE,Oshie,OSHIE,LAR,Ahoada West,Rivers State,N 05° 06' 05.1'',E 006° 29' 31.9'',9/6/2013,9/6/2013,,16:30,9/6/2013,,OML 61,,Hacksaw cut,Sabotage,,Third party,40,30
2013/OS/290,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Lasukugbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 30' 32.7'',E 006° 02' 23.7'',15/06/2013,15/06/2013,,17:30,15/06/2013,,OML 63,,Oil theft,Sabotage,"3"" valve installed on pipe by unknown person (s)..",Third party,7,2
2013/OS/294,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Kalatoru,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,N 04° 32' 35.7'',E 005° 57' 28.3'',18/06/2013,18/06/2013,,12:45,,,,,Oil theft,Sabotage,"4"" valve installed on pipe by unknown person (s)..",Third party,TBE,
2013/OS/296,,"18"" Tebidaba/Brass Pipeline",PIPELINE (OIL),Lasukugbene,TEBIDABA,SAR,Southern Ijaw,Bayelsa State,"
N 04° 30' 35.1''","
E 006° 02' 14.4''",19/06/2013,19/06/2013,,14:00,19/06/2013,,OML 63,,Oil theft,Sabotage,"2 (nos) - 6"" valves installed on pipe by unknown person (s)..",Third party,8,3
